Date,Solar Zenith Angle (deg),Solar Elevation corrected for atm refraction (deg),Solar Azimuth Angle (deg cw from N)
1/1/10,50.1392971,39.87999838,120.5943653
1/8/10,50.55546416,39.46411768,119.3376925
1/15/10,50.78993653,39.22980887,117.7018554
1/22/10,50.83953615,39.18024406,115.7187417
1/29/10,50.71002779,39.30966169,113.4186914
2/5/10,50.41609515,39.60339024,110.8299763
2/12/10,49.98103705,40.03815082,107.9788971
2/19/10,49.43597333,40.58284923,104.8906226
2/26/10,48.81842494,41.19999334,101.5907759
3/5/10,48.17026069,41.84774375,98.10762048
3/12/10,47.53513016,42.48247871,94.47453103
3/19/10,46.95559083,43.06166531,90.73228096
3/26/10,46.47017847,43.546788,86.93059241
4/2/10,46.11067649,43.90607874,83.12840935
4/9/10,45.89982809,44.11680452,79.39252971
4/16/10,45.84971211,44.16689148,75.7945625
4/23/10,45.96095761,44.05571045,72.40659849
4/30/10,46.22289259,43.79392828,69.29635403
5/7/10,46.61460843,43.40244369,66.52271414
5/14/10,47.10679664,42.91055079,64.13247888
5/21/10,47.66411458,42.35357385,62.15875833
5/28/10,48.24779043,41.77026296,60.6210195
6/4/10,48.81819195,41.20022618,59.5264354
6/11/10,49.3371444,40.68161279,58.87202105
6/18/10,49.76986933,40.24917604,58.64706412
6/25/10,50.08650427,39.93275523,58.83549868
7/2/10,50.26323834,39.7561419,59.4180394
7/9/10,50.28314425,39.73624964,60.37401877
7/16/10,50.13679325,39.88250052,61.68292342
7/23/10,49.8227071,40.19637381,63.32561416
7/30/10,49.34764614,40.67111798,65.28516902
8/6/10,48.72668097,41.29167809,67.54724191
8/13/10,47.98297164,42.03491515,70.09980347
8/20/10,47.14718942,42.87018249,72.93213484
8/27/10,46.25654775,43.76029286,76.03298293
9/3/10,45.35343743,44.66288166,79.38786279
9/10/10,44.48366446,45.53216774,82.9756258
9/17/10,43.69427082,46.32113181,86.76462309
9/24/10,43.03090637,46.98414387,90.70908677
10/1/10,42.5347641,47.4800275,94.74666876
10/8/10,42.23922549,47.77541396,98.79825264
10/15/10,42.16657547,47.8480268,102.7709468
10/22/10,42.32534336,47.68934028,106.5644157
10/29/10,42.70887565,47.30600624,110.079568
11/5/10,43.29555803,46.71963188,113.2276244
11/12/10,44.05072639,45.96486881,115.9373455
11/19/10,44.92990696,45.08617321,118.1589041
11/26/10,45.88277784,44.13384489,119.8641295
12/3/10,46.85721379,43.15998322,121.0439617
12/10/10,47.80290661,42.21486786,121.7044715
12/17/10,48.67424842,41.3440769,121.86269
12/24/10,49.43235812,40.58646204,121.5430171
